"Título","Tipo de activo","Suministró los datos","Categoría","Descripción","Etapa de publicación","Municipio","Nombre entidad","Orden","Departamento","Frequencia actualización","Fecha de creación","Fecha de publicación","Fecha última actualización","CALIFICACIÓN FINAL CALIDAD","NIVEL SELLO EXCELENCIA"
"OTROS PROCEDIMIENTOS VENEZOLANOS AÑO 2.018","dataset","Subgerencia de Atención en Salud - IMSALUD","Salud y Protección Social","otros procedimientos a Venezolanos atendidos en IMSALUD 2018","published","Valle de San José","Empresa Social del Estado Hospital San José","Territorial","Santander","Anual","2019 Apr 11 07:45:00 PM","2019 Apr 11 07:48:00 PM","2019 Apr 11 07:48:00 PM","7.79","0"
"Cuidadores CBAS Palmira 2021-2022","dataset","Alcaldía de Palmira","Inclusión Social y Reconciliación","Cuidadores  en Centros de Bienestar del Adulto mayor en el municipio de Palmira en la vigencia del 2021-2022","published","Palmira","Alcaldía de Palmira","Territorial","Valle del Cauca","Anual","2022 Dec 07 03:14:00 PM","2023 Jun 20 08:52:00 PM","2023 Jun 20 08:52:00 PM","8.42","1"
"Población Total, Población En Edad De Trabajar, Población Económicamente Activa, Ocupados Y Desocupados En El Valle Del Cauca","dataset","Gobernación del Valle del Cauca",,"Se visualizan los siguientes campos Población Total, Pet, Pea, Ocupados, Desocupados, Desempleo Abierto, Desempleo Oculto, Inactivos","published","Cali","Gobernación de Valle del Cauca","Territorial","Valle del Cauca","Anual","2022 Feb 02 03:16:00 PM","2022 Feb 02 03:20:00 PM","2022 Feb 02 03:20:00 PM","7.99","0"
"Matrimonios Civiles Entre Personas Del Mismo Sexo En Colombia","dataset","Notarias del Pais","Justicia y Derecho","A través de la SU214/16, se aprueba el Matrimonio Civil entre personas del mismo sexo en Colombia, por la cual estas parejas adquieren el derecho al matrimonio civil, bajo las mismas condiciones de las parejas Heterosexuales.","published","Bogotá D.C.","Superintendencia de Notariado y Registro","Nacional","Bogotá D.C.","Trimestral","2017 Jan 12 05:18:00 PM","2022 Apr 22 03:56:00 PM","2024 Aug 14 12:22:00 AM","9.44","1"
"Registro de Activos de Información","dataset","CC_40_BY","Función pública","Es el inventario de la información pública del registro de activos de la información de la alcaldía municipal de Ricaurte obteniendo el control de calidad de la información correspondiente al año 2024.","published","Ricaurte, Cundinamarca","Alcaldía de Ricaurte, Cundinamarca","Territorial","Cundinamarca","Anual","2024 Aug 28 02:36:00 PM","2024 Aug 28 10:34:00 PM","2024 Oct 21 04:06:00 PM","9.29","1"
"Numero población de grupos étnicos - Municipio De Pasto a 24-04-2018","dataset","ALCALDÍA MUNICIPAL DE  PASTO","Función pública","Población grupos étnicos municipio de Pasto","published","Pasto","Alcaldía de Pasto","Territorial","Nariño","Anual","2018 Feb 05 02:36:00 PM","2018 Feb 05 03:01:00 PM","2018 Feb 05 02:36:00 PM","7.48","0"
"Estadísticas de Información por Servicios","dataset","Sistemas","Salud y Protección Social","Producción por servicios prestados durante el 2trimestre de 2019.","published","Neiva","Carmen Emilia Ospina","Territorial","Huila","Anual","2019 Nov 19 01:57:00 PM","2019 Nov 19 02:14:00 PM","2019 Nov 19 02:14:00 PM","7.18","0"
"INDICADORES DE PRODUCCIÓN 2017","dataset","Hospital San Antonio de Villamaria Caldas E.S.E","Salud y Protección Social","Indicadores de producción del decreto 2193 de 2004, reportados en la plataforma SIHO del Ministerio de Salud y Protección Social, correspondientes a la vigencia 2017","published","Villamaría","Hospital San Antonio Villamaría Caldas","Territorial","Caldas","Trimestral","2019 May 27 10:06:00 PM","2019 Aug 21 02:45:00 PM","2019 Aug 21 02:45:00 PM","8.07","0"
"NORMATIVIDAD PUBLICADA EN PAGINA WEB A JUNIO DE 2019","dataset","Oficina de Informatica","Participación ciudadana","Normatividad publicada por la Alcaldia Municipal de Sincelejo hasta junio de 2019","published","Sincelejo","Alcaldía de Sincelejo","Territorial","Sucre","Anual","2019 Sep 23 03:21:00 PM","2019 Oct 07 04:52:00 PM","2019 Oct 07 04:52:00 PM","8.68","0"
"Esquema de Publicación de Información","dataset","Notaría Única de Santo Domingo - Antioquia","Función pública","Es el instrumento del que disponen los sujetos obligados para informar, de forma ordenada, a la ciudadanía, interesados y usuarios, sobre la información publicada y que publicará, conforme al principio de divulgación proactiva de la información previsto en el artículo 3° de la Ley 1712 de 2014, y sobre los medios a través de los cuales se puede acceder a la misma.
(Decreto 103 de 2015, art. 41)","published","Santo Domingo","Notaría Única de Santo Domingo","Territorial","Antioquia","No aplica","2024 Aug 21 09:19:00 PM","2024 Aug 22 03:03:00 PM","2024 Aug 22 02:22:00 PM","7.74","0"
"CÓDIGO SNIES PROGRAMAS DE EDUCACIÓN SUPERIOR","dataset","Escuela Tecnológica Instituto Técnico Central","Educación","Archivo que contiene programas de educación superior vigentes ofertados por la Escuela Tecnológica Instituto Técnico Central, con su respectivo código SNIES.","published","Bogotá D.C.","Escuela Tecnológica Instituto Técnico Central","Nacional","Bogotá D.C.","Anual","2019 Feb 09 04:09:00 PM","2019 Feb 09 04:20:00 PM","2019 Feb 09 04:20:00 PM","7.9","0"
"Nacimientos ocurridos en el Hospital General de Medellín","dataset","Hospital General de Medellín","Salud y Protección Social","Publicación de los Nacimientos ocurridos en el Hospital General de Medellín por trimestre y por año.","published","Medellín","Hospital General de Medellín","Territorial","Antioquia","Trimestral","2023 Oct 05 05:03:00 PM","2023 Oct 05 07:54:00 PM","2024 Jan 29 09:48:00 PM","9.41","1"
"Personas Jurídicas Matriculadas en la Ultima década - Cámara de Comercio de Magangué","dataset","Cámara de Comercio de Magangué","Comercio, Industria y Turismo","Base de datos de matriculas - Cámara de Comercio de Magangué","published","Magangué","Cámara de Comercio de Magangué","Nacional","Bolívar","Anual","2022 Feb 08 02:55:00 PM","2022 Feb 08 03:17:00 PM","2022 Feb 08 03:17:00 PM","8.39","0"
"JUNTAS DE ACCION COMUNAL EL  COCUY","dataset",,"Participación ciudadana","Listado de las Juntas de Acción Comunal del Municipio de El Cocuy","published","El Cocuy","Alcaldía de El Cocuy","Territorial","Boyacá","Trimestral","2018 Sep 21 06:30:00 PM","2018 Sep 21 06:34:00 PM","2018 Sep 21 06:34:00 PM","6.52","0"
"POT - Uso de Suelo Urbano del Municipio de Sogamoso","dataset","Municipio de Sogamoso Boyacá","Ordenamiento Territorial","Plan de Ordenamiento Territorial de Uso del Suelo Urbano","published","Sogamoso","Alcaldía de Sogamoso","Territorial","Boyacá","Anual","2021 Nov 11 10:15:00 PM","2021 Nov 16 08:55:00 PM","2024 Jan 11 08:22:00 PM","9.4","1"
"ALUMBRADO PUBLICO","dataset",,"Vivienda, Ciudad y Territorio",,"published","Copacabana","Alcaldía de Copacabana","Territorial","Antioquia","Semestral","2019 Nov 30 07:49:00 PM","2019 May 12 03:39:00 PM","2019 May 12 03:39:00 PM","6.64","0"
"Índice de Información clasificada y reservada","dataset","Notaría Única del Círculo de San Pedro","Función pública","Índice de Información clasificada y reservada","published","San Pedro, Valle del Cauca","Notaría Única de San Pedro, Valle del Cauca","Territorial","Valle del Cauca","Anual","2024 Feb 08 01:18:00 PM","2024 Feb 08 01:21:00 PM","2024 Feb 08 01:21:00 PM","8.56","0"
"Índice de Información Clasificada RTVC","dataset","Sociedad Radio Televisión Nacional de Colombia","Ciencia, Tecnología e Innovación","Índice de Información Clasificada RTVC","published","Bogotá D.C.","Sociedad de Radio Televisión Nacional de Colombia","Nacional","Bogotá D.C.","Anual","2017 Mar 21 07:55:00 PM","2020 Jun 29 10:54:00 PM","2021 Aug 26 08:53:00 PM","7.2","0"
"Estudio de producción de Leche","dataset","Oficina de desarrollo económico Sucre","Estadísticas Nacionales","Estudio de la producción de leche en los diferentes municipios del departamento de Sucre","published","Sincelejo","Gobernación de Sucre","Territorial","Sucre","Anual","2019 Nov 15 03:48:00 PM","2019 Nov 15 08:05:00 PM","2019 Nov 15 08:05:00 PM","8.6","0"
"LISTADO INSTITUCIONES EDUCATIVAS SALENTO","dataset","Alcaldía Municipal de Salento en Quindío","Educación","Listado de Instituciones Educativas Salento Quindio","published","Salento","Alcaldía de Salento","Territorial","Quindío","Anual","2016 Jul 14 07:52:00 PM","2016 Jul 14 07:52:00 PM","2016 Jul 14 07:52:00 PM","7.71","0"
"Esquema de publicación de información","dataset","Notaría Séptima del Círculo de Cali","Función pública",,"published","Cali","Notaría Séptima del Círculo de Cali","Territorial","Valle del Cauca","Anual","2024 Jul 08 09:30:00 PM","2024 Jul 08 09:35:00 PM","2024 Jul 08 09:35:00 PM","8.17","0"
"Registro de Activos de Información","dataset","Notaría Única del Círculo de San Bernardo del Viento","Función pública",,"published","San Bernardo del Viento","Notaría Única del Círculo de San Bernardo del Viento","Territorial","Córdoba","Anual","2024 Jul 25 09:52:00 PM","2024 May 08 08:15:00 PM","2024 May 08 08:15:00 PM","7.82","0"
"Esquema de Publicación de Información","dataset","Notaría Unica de Sabanalarga","Función pública","Esquema de Publicación de Información","published","Sabanalarga, Atlántico","Notaría Única de Sabanalarga, Atlántico","Territorial","Atlántico","Anual","2024 Jul 25 07:16:00 PM","2024 Aug 14 09:07:00 PM","2024 Aug 14 09:07:00 PM","8.09","0"
"BIBLIOTECA HOQABIGA,URBANO Y RURAL MUNICIPIO DE CHIA","dataset","ALCALDÍA MUNICIPAL DE CHIA","Cultura","Estadísticas bibliotecas Publicas Chía","published","Chía","Alcaldía de Chía","Territorial","Cundinamarca","Trimestral","2019 Mar 20 09:22:00 PM","2019 Mar 20 09:35:00 PM","2024 Jun 18 07:08:00 PM","7.64","0"
"VIGILANCIA EN SALUD PÚBLICA DE LA VIOLENCIA DE GÉNERO E INTRAFAMILIAR 2020","dataset","Alcaldía Municipal de Guatavita","Salud y Protección Social","Casos de violencia de Género hallados por Salud Pública en el 2020 filtrados por edad y sexo.","published","Guatavita","Alcaldía de Guatavita","Territorial","Cundinamarca","Anual","2021 Apr 21 03:24:00 PM","2021 Apr 21 03:28:00 PM","2021 Apr 21 03:28:00 PM","7.49","0"
"Esquema de Publicación de Información","dataset","Notaría Segunda de Moniquirá - Boyacá","Función pública","Es el instrumento del que disponen los sujetos obligados para informar, de forma ordenada, a la ciudadanía, interesados y usuarios, sobre la información publicada y que publicará, conforme al principio de divulgación proactiva de la información previsto en el artículo 3° de la Ley 1712 de 2014, y sobre los medios a través de los cuales se puede acceder a la misma.
(Decreto 103 de 2015, art. 41)","published","Moniquirá","Notaría 2 de Moniquirá","Territorial","Boyacá","No aplica","2024 Aug 21 07:06:00 PM","2024 Aug 21 07:11:00 PM","2024 Aug 21 07:11:00 PM","8.2","1"
"Censo de asentamientos informales Cartagena 2021","dataset",,"Salud y Protección Social","Censo de asentamientos informales Cartagena 2021","published","Cartagena de Indias","Alcaldía Distrital de Cartagena de Indias, Distrito Turístico, Histórico y Cultural","Territorial","Bolívar","Anual","2022 Apr 26 03:23:00 PM","2022 May 03 01:08:00 AM","2022 May 03 01:07:00 AM","8.68","0"
"Resultados sorteo 2751","dataset",,,"Resultados sorteo 2751","published","Armenia","Lotería del Quindío","Territorial","Quindío","Semanal","2021 Jun 23 04:08:00 PM","2021 Jun 23 04:10:00 PM","2021 Jun 23 04:10:00 PM","7.16","0"
"Registro de Activos de Información","dataset","Notaría Única de Puerto Rondon - Arauca","Función pública","Corresponde al inventario de la información pública que la notaría como sujeto obligado genere, obtenga, adquiera, transforme o controle en su calidad de tal, de acuerdo con lo dispuesto en la Ley 1712 de 2014, Decreto 103 de 2015, art. 37 y demás normas concordantes.","published","Puerto Rondón","Notaría Única de Puerto Rondón","Territorial","Arauca","No aplica","2024 Aug 27 01:26:00 PM","2024 Aug 27 05:56:00 PM","2024 Aug 27 05:56:00 PM","8.57","1"
"Cantidad de Población Afiliada al Régimen Contributivo I Trimestre 2018 por EPS del Municipio de Aguazul Casanare","dataset","Secretaría de Salud y Gestión Social","Salud y Protección Social","Cantidad de Población Afiliada al Régimen Contributivo I Trimestre 2018 por EPS del Municipio de Aguazul Casanare
Para reportar hallazgos, comentarios o sugerencias, puede escribirnos por medio de los siguientes mecanismos. 
http://www.aguazul-casanare.gov.co/peticiones-quejas-reclamos 
Correos: contactenos@aguazul-casanare.gov.co, sistemas@aguazul-casanare.gov.co","published","Aguazul","Alcaldía de Aguazul","Territorial","Casanare","Trimestral","2018 Jul 09 04:18:00 PM","2018 Oct 09 04:08:00 PM","2018 Oct 09 04:08:00 PM","7.72","0"
"Industria  Comercio 2017","dataset","Alcaldía de Tena","Comercio, Industria y Turismo","Establecimientos registrados en Industria  Comercio año 2017","published","Tena","Alcaldía de Tena","Territorial","Cundinamarca","Anual","2017 May 05 04:30:00 PM","2017 May 05 04:38:00 PM","2017 Jul 26 04:23:00 PM","7.34","0"
"POSPOPULI-GLOSARIO","dataset","MINISTERIO DE SALUD Y PROTECCIÓN SOCIAL","Salud y Protección Social","Tabla con las palabras y conceptos que son difíciles de entender en POSPopuli.
Diligencia la Encuesta de Satisfacción:
https://tramites.minsalud.gov.co/FormularioInscripcion/EncuestaSatisfaccion.aspx","published","Bogotá D.C.","Ministerio de Salud y Protección Social","Nacional","Bogotá D.C.","Anual","2019 Jun 03 08:41:00 PM","2023 Jul 27 10:28:00 PM","2023 Jul 27 10:27:00 PM","8.94","0"
"DIRECTORIO JUNTAS DE ACCIÓN COMUNAL ZONAS URBANAS DEL MUNICIPIO DE ÁBREGO","dataset","Alcaldía Municipal de Abrego en Norte de Santander","Inclusión Social y Reconciliación","Información básica de las Juntas de Acción Comunal de la zona urbana del Municipio de Ábrego Norte de Santander.","published","Ábrego","Alcaldía de Abrego","Territorial","Norte de Santander","Anual","2016 Nov 15 03:11:00 AM","2016 Nov 15 03:16:00 AM","2016 Nov 15 03:16:00 AM","7.69","0"
"Remisiones de pacientes","dataset","Empresa Social del Estado Pasto Salud ESE","Salud y Protección Social","Remisiones de pacientes de los servicios de urgencias y hospitalización de las Prestadoras de Servicios de Empresa Social del Estado Pasto Salud E.S.E","published","Pasto","Empresa Social del Estado Pasto Salud","Territorial","Nariño","Trimestral","2020 May 16 03:39:00 PM","2020 May 16 03:46:00 PM","2021 Feb 09 08:18:00 PM","7.61","0"
"Superservicios - Caracterización de Usuarios - Energía  Semestre 1 - 2022","dataset","Superintendencia de Servicios Públicos Domiciliarios","Minas y Energía","Energía - 1732- Formato TC1. Caracterización de Usuarios
Resolución SSPD 20212200012515 de 2021","published","Bogotá D.C.","Superintendencia de Servicios Públicos Domiciliarios","Nacional","Bogotá D.C.","Semestral","2023 Nov 05 04:59:00 PM","2023 Nov 05 09:19:00 PM","2023 May 19 05:06:00 AM","8.25","0"
"Barrio","dataset","ALCALDÍA DE LA DORADA","Ordenamiento Territorial","Mapa con la Ubicación de los barrios del Municipio de La Dorada, Caldas.","published","La Dorada","Alcaldía de La Dorada","Territorial","Caldas","Anual","2017 Aug 10 03:12:00 PM","2017 Aug 10 03:13:00 PM","2017 Aug 10 03:13:00 PM","7.82","0"
"Evaluación de tierras para el cultivo tecnificado de Aguacate (Persea americana Miller) de variedad Lorena, en el departamento de Cundinamarca.","dataset","Unidad de Planificación Rural Agropecuaria - UPRA","Agricultura y Desarrollo Rural","El mapa de evaluación de tierras para el cultivo tecnificado de aguacate (Persea americana Miller) de variedad Lorena, es un instrumento de planificación para las áreas rurales que facilita la identificación de áreas geográficas con una combinación de características físicas, biológicas, humanas e institucionales aptas para un uso determinado, que pueden ser interpretadas en términos de objetivos para la gestión de los territorios. Aplicar la metodología de evaluación de tierras con fines agropecuarios a escala 1:100.000 en el departamento de Cundinamarca, significa con mapas de aptitud como herramientas que permiten identificar posibles núcleos de desarrollo, orientar políticas del sector agropecuario y de la planificación rural del departamento.
Mediante la suscripción del convenio interadministrativo 1851558 de 2020, el departamento de Cundinamarca mediante gestión directa del Gobernador y de la Secretaría de Agricultura, solicita a la UPRA apoyo para continuar con el proceso de ordenamiento territorial agropecuario del departamento, para fortalecer la gestión de información sectorial y su respectiva articulación con el sistema de planeación agropecuario de Cundinamarca y otros instrumentos y herramientas para contribuir a la productividad y competitividad del sector.
Aptitud: Áreas con potencial para el establecimiento y desarrollo del cultivo comercial de la producción de aguacate (Persea americana Miller) de variedad Lorena, para el mercado nacional y de exportación con fines comerciales, bajo un marco legal, normativo y técnico que las define y diferencia de otros usos posibles.
Categorías:
Aptitud Alta: Zonas con las mejores condiciones desde el punto de vista físico, socioecosistémico y socioeconómico. 
Aptitud Media: Zonas con limitaciones moderadas de tipo físico, socioecosistémico y/o socioeconómico. 
Aptitud Baja: Zonas con fuertes limitaciones de tipo físico, socioecosistémico y/o socioeconómico, las cuales podrían adecuarse con grandes inversiones y/o el desarrollo de nuevas tecnologías. 
No apta: Zonas con restricciones físicas y socioecosistémicas que imposibilitan el desarrollo de la actividad. 
Exclusión legal: Zonas en las cuales, por mandato legal, no se permite el desarrollo de la producción de aguacate (Persea americana Miller) de variedad Lorena.","published","Bogotá D.C.","Unidad de Planificación de Tierras Rurales, Adecuación de Tierras y Usos Agropecuarios","Nacional","Bogotá D.C.","Más de tres años","2023 Apr 13 04:13:00 PM","2023 Apr 13 04:47:00 PM","2023 Apr 13 04:44:00 PM","9.69","1"
"Mortalidad Cáncer de Cervix 2010 A 2016","dataset","Gobernación de Caldas","Salud y Protección Social","Mortalidad Cáncer de Cervix de los años 2010 a 2016","published","Manizales","Gobernación de Caldas","Territorial","Caldas","Trienio","2017 Apr 20 09:13:00 PM","2017 Apr 20 09:22:00 PM","2017 Apr 20 09:14:00 PM","8.26","0"
"Base datos insumos agropecuarios (veterinarias)","dataset","Organización","Agricultura y Desarrollo Rural","En esta base de datos encontrará información relacionada con las veterinarias ubicadas en el municipio de Pore - Casanare","published","Pore","Alcaldía de Pore","Territorial","Casanare","Anual","2020 Oct 14 02:11:00 PM","2020 Oct 14 02:22:00 PM","2020 Oct 14 02:22:00 PM","8.1","0"
"SABER359 2014 RESULTADOS - SEDE CIENCIAS 5 GRADO","dataset","Instituto Colombiano para la Evaluación de la Educación - ICFES","Educación","En esta base se encontrarán RESULTADOS POR SEDE-JORNADA Saber 359 2014 Área: Ciencias Grado: 5. Reportes simplificados a nivel de agregación de sede-jornada. Indican el número de estudiantes por cada nivel de desempeño","published","Bogotá D.C.","Instituto Colombiano para la Evaluación de la Educación","Nacional","Bogotá D.C.","Trienio","2017 Feb 15 03:16:00 PM","2017 Feb 15 03:49:00 PM","2017 Feb 15 03:17:00 PM","7.41","0"
"Evento de Violencia de Género en el Municipio de Villavicencio","dataset",,"Salud y Protección Social","Evento de Violencia de Género en el Municipio de Villavicencio, segundo trimestre del año en curso.","published","Villavicencio","E.S.E. del Municipio de Villavicencio","Territorial","Meta","Trimestral","2020 Jul 27 04:52:00 PM","2020 Jul 27 05:04:00 PM","2020 Jul 27 05:04:00 PM","7.74","0"
"Guadalajara de Buga : Soportes Secretaría TIC","dataset","SECRETARIA TIC","Estadísticas Nacionales","El presente informe presenta un análisis detallado de la gestión realizada por la Secretaría TIC de Guadalajara de Buga durante el período de 2020 a 2023. Se destacan las auditorías realizadas, las solicitudes atendidas y los problemas más frecuentes en términos de hardware, software y mantenimiento. El informe también proporciona cifras en valores y porcentajes para evaluar el desempeño de la Secretaría TIC. Además, se presentan recomendaciones para mejorar la eficiencia y la calidad del servicio.","published","Guadalajara de Buga","Alcaldía de Guadalajara de Buga","Territorial","Valle del Cauca","Anual","2023 Jul 17 08:11:00 PM","2023 Jul 17 08:18:00 PM","2023 Jul 17 08:18:00 PM","9.1","2"
"INSTITUCIONES CERTIFICADAS EN CAPACIDAD DE PRODUCCIÓN PARA PRODUCTOS COSMÉTICOS","dataset","INSTITUTO NACIONAL DE VIGILANCIA DE MEDICAMENTOS Y ALIMENTOS INVIMA","Salud y Protección Social","LISTADO DE INSTITUCIONES CERTIFICADAS EN CAPACIDAD DE PRODUCCIÓN PARA PRODUCTOS COSMÉTICOS, MEDIANTE VISITA Y/O AUDITORIA.","published","Bogotá D.C.","Instituto Nacional de Vigilancia de Medicamentos y Alimentos","Nacional","Bogotá D.C.","Mensual","2016 Jul 15 01:09:00 AM","2019 Mar 27 05:11:00 PM","2024 Jul 11 03:53:00 PM","8.83","0"
"Información Insitituciones Educativas","dataset","Alcaldía Municipal de Ocamonte en Santander","Educación","Información acerca de las principales sedes educativas del municipio de Ocamonte","published","Ocamonte","Alcaldía de Ocamonte","Territorial","Santander","Anual","2016 Jul 13 08:47:00 PM","2016 Jul 13 08:47:00 PM","2016 Jul 13 08:47:00 PM","7.18","0"
"ESQUEMA DE PUBLICACIÓN DE LA INFORMACIÓN","dataset","Notaría Octava del Círculo de Bucaramanga","Función pública","Esquema de Publicación de Información es el instrumento del que disponen los sujetos obligados para informar, de forma ordenada, a la ciudadanía, interesados y usuarios, sobre la información publicada y que publicará, conforme al principio de divulgación","published","Bucaramanga","Notaría 8 de Bucaramanga","Territorial","Santander","Anual","2024 Sep 11 08:48:00 PM","2024 Sep 11 08:57:00 PM","2024 Sep 11 08:57:00 PM","8.19","0"
"Puntos vive digital","dataset","Alcaldía Municipal de Tauramena","Ciencia, Tecnología e Innovación","Listado de los punto vive digital del Municipio de Tauramena.","published","Tauramena","Alcaldía de Tauramena","Territorial","Casanare","Anual","2019 Jul 02 09:49:00 PM","2019 Jul 02 09:53:00 PM","2020 Nov 23 11:16:00 PM","8.39","0"
"Ruta 7 - Calle 52","dataset",,"Transporte","Ida: Intercambiador Dosquebradas - calle 43 - Cra 13 - Calle 46 - Cra 12.
Regreso: Cra 12 - Calle 57 - Cra 14 con calle 59 - Cra 15 calle 61 - Av. Simón Bolívar - Calle 43 - Intercambiador Dosquebradas.","published","Pereira","Megabus S.A.","Territorial","Risaralda","No aplica","2018 Apr 18 03:07:00 PM","2018 Apr 18 03:07:00 PM","2018 Apr 18 03:07:00 PM","7.13","0"
"Proyectos de Investigación Activos Universidad del Magdalena","dataset","Universidad del Magdalena","Educación","Proyectos de investigación activos en cada semestre, código, nombre, fuente de financiación...","published","Santa Marta","Universidad del Magdalena","Territorial","Magdalena","Anual","2022 Aug 23 07:51:00 PM","2022 Aug 23 07:58:00 PM","2024 Jan 17 10:18:00 PM","8.7","1"
"DIRECTORIO DE HOTELES Y RESTAURANTES EN MOSQUERA CUNDINAMARCA","dataset","ALCALDIA MUNICIPAL DE MOSQUERA - CUNDINAMARCA","Comercio, Industria y Turismo","Listado de hoteles y restaurantes del Municipio de Mosquera CundInamarca","published","Mosquera","Alcaldía de Mosquera","Territorial","Cundinamarca","Anual","2018 Feb 16 02:25:00 PM","2018 Feb 16 03:06:00 PM","2021 Jul 23 09:58:00 PM","7.19","0"
"Defunciones por edad y sexo","dataset","Alcaldía Municipal de Bello en Antioquia","Inclusión Social y Reconciliación","Defunciones presentadas en rango de edad y sexo","published","Bello","Alcaldía de Bello","Territorial","Antioquia","Anual","2016 Jul 14 03:59:00 AM","2016 Jul 14 03:59:00 AM","2016 Jul 14 03:59:00 AM","7.65","0"
"Indice de información clasificada y reservada","dataset",,,"El Índice de Información Clasificada y Reservada es el inventario de la información pública generada, obtenida, adquirida o controlada por la Empresa Férrea Regional SAS, que ha sido calificada como clasificada o reservada.","published","Bogotá D.C.","Gobernación de Cundinamarca","Territorial","Bogotá D.C.","No aplica","2022 Aug 09 04:48:00 PM","2022 Aug 09 08:27:00 PM","2022 Aug 09 08:27:00 PM","7.68","0"
"Base de Datos Sector de Construcción","dataset","Creative Commons","Comercio, Industria y Turismo","Esta sección comprende las actividades corrientes y especializadas de construcción de edificios y obras de ingeniería civil. En ella se incluyen las obras nuevas, reparaciones, ampliaciones y reformas, el levantamiento in situ de edificios y estructuras prefabricadas y también la construcción de obras de carácter temporal.","published","Arauca","Cámara de Comercio de Arauca","Territorial","Arauca","No aplica","2020 Mar 12 10:09:00 PM","2020 Mar 12 10:22:00 PM","2020 Mar 12 10:22:00 PM","8.48","0"
"PROGRAMAS DE LA ESCUELA DISTRITAL DE ARTES","dataset","Alcaldia Distrital de Barranquilla, Distrito Especial, Industrial y Portuario","Cultura","Programas técnicos ofrecidos por la Escuela Distrital de Artes - EDA","published","Barranquilla","Alcaldía Distrital de Barranquilla, Distrito Especial, Industrial y Portuario","Territorial","Atlántico","Semestral","2017 Aug 25 04:57:00 PM","2017 Aug 25 05:22:00 PM","2020 Dec 18 06:56:00 PM","7.4","0"
"Nacimientos Por Mes, Sexo Y Tipo De Parto Año 2018 De La E.S.E David Molina Muñoz De Oporapa","dataset","E.S.E David Molina Muñoz De Oporapa","Salud y Protección Social",,"published","Oporapa","Alcaldía de Oporto","Territorial","Huila","No aplica","2019 Aug 29 05:54:00 PM","2019 Aug 29 07:37:00 PM","2019 Aug 29 07:37:00 PM","6.55","0"
"BASE DE DATOS PROPIEDADES HORIZONTALES Y CONJUNTOS","dataset","GERENCIA DE PLANEACIÓN","Vivienda, Ciudad y Territorio","Base de datos con información de propuedades horizontales y Conjuntos del municipio de Cogua.","published","Cogua","Alcaldía de Cogua","Territorial","Cundinamarca","Semestral","2022 Nov 21 02:06:00 PM","2022 Nov 21 02:26:00 PM","2022 Nov 21 02:26:00 PM","8.54","1"
"Esquema de Publicación de Información - Escuela Nacional del Deporte","dataset","Unidad de Comunicaciones e Imagen Corporativa","Educación","La Escuela Nacional del Deporte registra el Esquema de Publicación de Información con el fin de informar de manera ordenada a la ciudadanía, grupos de interés y de valor, sobre la información publicada y que publicará, conforme al principio de divulgación proactiva de la información previsto en el artículo 3° de la Ley 1712 de 2014, y sobre los medios a través de los cuales se puede acceder a la misma. El esquema de publicación de la información hace referencia al medio de conservación fisico-electrónico, tipo de formato, frecuencia de utilización y dependencia responsable.","published","Cali","Escuela Nacional del Deporte","Territorial","Valle del Cauca","Anual","2023 Sep 11 08:14:00 PM","2023 Sep 11 08:45:00 PM","2023 Sep 11 08:45:00 PM","8.64","1"
"Salud y Proteccion Social - Cobertura de Vacunación con Neumococo dos dosis en menores de 1 año en el Departamento de Bolívar. Vigencia 2015 a 2018.","dataset","Secretaria de Salud","Salud y Protección Social","En este Conjunto de Datos puede visualizar la Cobertura de Vacunación con Neumococo dos dosis en menores de 1 año en el Departamento de Bolívar, vigencia 2015 a 2018, por Municipio.
Nota: El programa PAI trabaja con poblaciones menor de un año y menor de cinco programadas por el Ministerio de Salud y Protección Social basados en información suministrada por los municipios anualmente
Numerador: Número de niñas y niños menores de 1 año vacunados con la 2a dosis del biológico Neumococo. Fuente: PAI –Secretaria de Salud.
Denominador: Población menor de un año (meta programática). Fuente: PAI – Secretaria de Salud.
Forma de Cálculo: (Numerador/Denominador)*100.","published","Cartagena de Indias","Gobernación de Bolívar","Territorial","Bolívar","Anual","2019 Jul 06 04:23:00 PM","2019 Jul 06 04:30:00 PM","2019 Jul 06 04:30:00 PM","8.2","0"
"Juntas De Accion Comunal Chiquinquira","dataset","Alcaldia Municipio de Chiquinquirá","Vivienda, Ciudad y Territorio","Conjunto de datos con el listado de barrios y veredas del municipio de Chiquinquirá","published","Chiquinquirá","Alcaldía de Chiquinquirá","Territorial","Boyacá","Trimestral","2018 Mar 21 02:42:00 PM","2018 Mar 21 02:56:00 PM","2018 Mar 21 02:42:00 PM","8.26","0"
"Plan de adquisiciones Vigencia 2020 -  Contraloria General del Departamento del Cesar","dataset","Contraloria General del Departamento del Cesar","Ordenamiento Territorial",,"published","Valledupar","Contraloría Departamental del Cesar","Territorial","Cesar","Anual","2020 Feb 04 10:20:00 PM","2020 Feb 04 10:32:00 PM","2020 Feb 04 10:32:00 PM","7.06","0"
